[22:36:45] ================================================================================
[22:36:45] 流星偵測系統 - 增強版
[22:36:45] ================================================================================
[22:36:45] 影片: me.mp4
[22:36:45] 總幀數: 3065, FPS: 30.00
[22:36:45] 參數: 移動檢查=10幀, 最小移動=5px
[22:36:46] ✓ 流星 #1: 幀 71-76 (時間 2.4s-2.5s), 長度 23.7px, 速度 4.7px/frame, 點數 3
[22:36:59] ✓ 流星 #188: 幀 2061-2061 (時間 68.7s-68.7s), 長度 25.5px, 速度 25.5px/frame, 點數 2
[22:36:59] ✓ 流星 #189: 幀 2061-2061 (時間 68.7s-68.7s), 長度 31.0px, 速度 31.0px/frame, 點數 2
[22:36:59] 處理進度: 2100/3065, 活躍軌跡: 0, 已偵測流星: 189
[22:37:00] ✓ 流星 #190: 幀 2101-2101 (時間 70.0s-70.0s), 長度 12.2px, 速度 12.2px/frame, 點數 2
[22:37:00] ✓ 流星 #191: 幀 2164-2164 (時間 72.1s-72.1s), 長度 36.1px, 速度 36.1px/frame, 點數 2
[22:37:00] ✓ 流星 #192: 幀 2164-2164 (時間 72.1s-72.1s), 長度 31.1px, 速度 31.1px/frame, 點數 2
[22:37:00] ✓ 流星 #193: 幀 2164-2164 (時間 72.1s-72.1s), 長度 57.0px, 速度 57.0px/frame, 點數 2
[22:37:00] ✓ 流星 #194: 幀 2164-2164 (時間 72.1s-72.1s), 長度 17.0px, 速度 17.0px/frame, 點數 2
[22:37:00] 處理進度: 2200/3065, 活躍軌跡: 1, 已偵測流星: 194
[22:37:01] ✓ 流星 #195: 幀 2210-2217 (時間 73.7s-73.9s), 長度 45.7px, 速度 6.5px/frame, 點數 5
[22:37:01] ✓ 流星 #196: 幀 2212-2217 (時間 73.7s-73.9s), 長度 32.4px, 速度 6.5px/frame, 點數 2
[22:37:01] ✓ 流星 #197: 幀 2207-2222 (時間 73.6s-74.1s), 長度 49.5px, 速度 3.3px/frame, 點數 7
[22:37:01] ✓ 流星 #198: 幀 2251-2251 (時間 75.0s-75.0s), 長度 26.6px, 速度 26.6px/frame, 點數 2
[22:37:01] ✓ 流星 #199: 幀 2251-2251 (時間 75.0s-75.0s), 長度 42.2px, 速度 42.2px/frame, 點數 2
[22:37:01] ✓ 流星 #200: 幀 2251-2251 (時間 75.0s-75.0s), 長度 57.0px, 速度 57.0px/frame, 點數 2
[22:37:02] ✓ 流星 #201: 幀 2282-2282 (時間 76.1s-76.1s), 長度 46.6px, 速度 46.6px/frame, 點數 2
[22:37:02] ✓ 流星 #202: 幀 2282-2282 (時間 76.1s-76.1s), 長度 39.0px, 速度 39.0px/frame, 點數 2
[22:37:02] ✓ 流星 #203: 幀 2282-2282 (時間 76.1s-76.1s), 長度 9.0px, 速度 9.0px/frame, 點數 2
[22:37:02] ✓ 流星 #204: 幀 2282-2282 (時間 76.1s-76.1s), 長度 15.6px, 速度 15.6px/frame, 點數 2
[22:37:02] ✓ 流星 #205: 幀 2282-2282 (時間 76.1s-76.1s), 長度 14.3px, 速度 14.3px/frame, 點數 2
[22:37:02] ✓ 流星 #206: 幀 2282-2282 (時間 76.1s-76.1s), 長度 26.2px, 速度 26.2px/frame, 點數 2
[22:37:02] ✓ 流星 #207: 幀 2282-2282 (時間 76.1s-76.1s), 長度 25.1px, 速度 25.1px/frame, 點數 2
[22:37:02] ✓ 流星 #208: 幀 2282-2282 (時間 76.1s-76.1s), 長度 7.3px, 速度 7.3px/frame, 點數 2
[22:37:02] ✓ 流星 #209: 幀 2282-2282 (時間 76.1s-76.1s), 長度 52.8px, 速度 52.8px/frame, 點數 2
[22:37:02] ✓ 流星 #210: 幀 2282-2282 (時間 76.1s-76.1s), 長度 14.0px, 速度 14.0px/frame, 點數 2
[22:37:02] ✓ 流星 #211: 幀 2282-2282 (時間 76.1s-76.1s), 長度 52.6px, 速度 52.6px/frame, 點數 2
[22:37:02] ✓ 流星 #212: 幀 2282-2282 (時間 76.1s-76.1s), 長度 49.0px, 速度 49.0px/frame, 點數 2
[22:37:02] ✓ 流星 #213: 幀 2282-2282 (時間 76.1s-76.1s), 長度 18.4px, 速度 18.4px/frame, 點數 2
[22:37:02] ✓ 流星 #214: 幀 2282-2282 (時間 76.1s-76.1s), 長度 5.0px, 速度 5.0px/frame, 點數 2
[22:37:02] ✓ 流星 #215: 幀 2282-2282 (時間 76.1s-76.1s), 長度 23.0px, 速度 23.0px/frame, 點數 2
[22:37:02] ✓ 流星 #216: 幀 2282-2282 (時間 76.1s-76.1s), 長度 56.1px, 速度 56.1px/frame, 點數 2
[22:37:02] ✓ 流星 #217: 幀 2282-2282 (時間 76.1s-76.1s), 長度 30.0px, 速度 30.0px/frame, 點數 2
[22:37:02] ✓ 流星 #218: 幀 2282-2282 (時間 76.1s-76.1s), 長度 7.1px, 速度 7.1px/frame, 點數 2
[22:37:02] ✓ 流星 #219: 幀 2282-2282 (時間 76.1s-76.1s), 長度 34.9px, 速度 34.9px/frame, 點數 2
[22:37:02] ✓ 流星 #220: 幀 2282-2282 (時間 76.1s-76.1s), 長度 57.6px, 速度 57.6px/frame, 點數 2
[22:37:02] ✓ 流星 #221: 幀 2282-2282 (時間 76.1s-76.1s), 長度 7.8px, 速度 7.8px/frame, 點數 2
[22:37:02] ✓ 流星 #222: 幀 2282-2282 (時間 76.1s-76.1s), 長度 21.0px, 速度 21.0px/frame, 點數 2
[22:37:02] ✓ 流星 #223: 幀 2282-2282 (時間 76.1s-76.1s), 長度 19.2px, 速度 19.2px/frame, 點數 2
[22:37:02] ✓ 流星 #224: 幀 2282-2282 (時間 76.1s-76.1s), 長度 6.0px, 速度 6.0px/frame, 點數 2
[22:37:02] ✓ 流星 #225: 幀 2282-2282 (時間 76.1s-76.1s), 長度 11.7px, 速度 11.7px/frame, 點數 2
[22:37:02] ✓ 流星 #226: 幀 2282-2282 (時間 76.1s-76.1s), 長度 21.0px, 速度 21.0px/frame, 點數 2
[22:37:02] ✓ 流星 #227: 幀 2282-2282 (時間 76.1s-76.1s), 長度 13.0px, 速度 13.0px/frame, 點數 2
[22:37:02] ✓ 流星 #228: 幀 2282-2282 (時間 76.1s-76.1s), 長度 56.9px, 速度 56.9px/frame, 點數 2
[22:37:02] ✓ 流星 #229: 幀 2282-2282 (時間 76.1s-76.1s), 長度 31.8px, 速度 31.8px/frame, 點數 2
[22:37:02] ✓ 流星 #230: 幀 2282-2282 (時間 76.1s-76.1s), 長度 38.8px, 速度 38.8px/frame, 點數 2
[22:37:02] ✓ 流星 #231: 幀 2282-2282 (時間 76.1s-76.1s), 長度 20.4px, 速度 20.4px/frame, 點數 2
[22:37:02] ✓ 流星 #232: 幀 2282-2282 (時間 76.1s-76.1s), 長度 9.2px, 速度 9.2px/frame, 點數 2
[22:37:02] ✓ 流星 #233: 幀 2282-2282 (時間 76.1s-76.1s), 長度 55.4px, 速度 55.4px/frame, 點數 2
[22:37:02] ✓ 流星 #234: 幀 2282-2282 (時間 76.1s-76.1s), 長度 22.4px, 速度 22.4px/frame, 點數 2
[22:37:02] ✓ 流星 #235: 幀 2282-2282 (時間 76.1s-76.1s), 長度 37.9px, 速度 37.9px/frame, 點數 2
[22:37:02] ✓ 流星 #236: 幀 2282-2282 (時間 76.1s-76.1s), 長度 34.9px, 速度 34.9px/frame, 點數 2
[22:37:02] ✓ 流星 #237: 幀 2282-2282 (時間 76.1s-76.1s), 長度 26.2px, 速度 26.2px/frame, 點數 2
[22:37:02] ✓ 流星 #238: 幀 2282-2282 (時間 76.1s-76.1s), 長度 13.6px, 速度 13.6px/frame, 點數 2
[22:37:02] ✓ 流星 #239: 幀 2282-2282 (時間 76.1s-76.1s), 長度 24.7px, 速度 24.7px/frame, 點數 2
[22:37:02] ✓ 流星 #240: 幀 2282-2282 (時間 76.1s-76.1s), 長度 7.2px, 速度 7.2px/frame, 點數 2
[22:37:02] ✓ 流星 #241: 幀 2282-2282 (時間 76.1s-76.1s), 長度 10.3px, 速度 10.3px/frame, 點數 2
[22:37:02] ✓ 流星 #242: 幀 2282-2282 (時間 76.1s-76.1s), 長度 56.0px, 速度 56.0px/frame, 點數 2
[22:37:02] 處理進度: 2300/3065, 活躍軌跡: 0, 已偵測流星: 242
[22:37:02] ✓ 流星 #243: 幀 2345-2350 (時間 78.2s-78.3s), 長度 8.1px, 速度 1.6px/frame, 點數 3
[22:37:02] ✓ 流星 #244: 幀 2350-2355 (時間 78.3s-78.5s), 長度 15.4px, 速度 3.1px/frame, 點數 3
[22:37:03] ✓ 流星 #245: 幀 2362-2365 (時間 78.7s-78.8s), 長度 23.0px, 速度 7.7px/frame, 點數 2
[22:37:03] ✓ 流星 #246: 幀 2353-2377 (時間 78.4s-79.2s), 長度 239.0px, 速度 10.0px/frame, 點數 11
[22:37:03] ✓ 流星 #247: 幀 2386-2393 (時間 79.5s-79.8s), 長度 8.2px, 速度 1.2px/frame, 點數 3
[22:37:03] 處理進度: 2400/3065, 活躍軌跡: 2, 已偵測流星: 247
[22:37:03] ✓ 流星 #248: 幀 2402-2403 (時間 80.1s-80.1s), 長度 11.2px, 速度 11.2px/frame, 點數 2
[22:37:03] ✓ 流星 #249: 幀 2403-2408 (時間 80.1s-80.3s), 長度 7.0px, 速度 1.4px/frame, 點數 2
[22:37:03] ✓ 流星 #250: 幀 2408-2415 (時間 80.3s-80.5s), 長度 8.1px, 速度 1.2px/frame, 點數 3
[22:37:03] ✓ 流星 #251: 幀 2420-2425 (時間 80.7s-80.8s), 長度 15.6px, 速度 3.1px/frame, 點數 3
[22:37:03] ✓ 流星 #252: 幀 2425-2429 (時間 80.8s-81.0s), 長度 5.9px, 速度 1.5px/frame, 點數 3
[22:37:04] ✓ 流星 #253: 幀 2482-2494 (時間 82.7s-83.1s), 長度 21.7px, 速度 1.8px/frame, 點數 4
[22:37:04] 處理進度: 2500/3065, 活躍軌跡: 1, 已偵測流星: 253
[22:37:04] ✓ 流星 #254: 幀 2525-2530 (時間 84.2s-84.3s), 長度 6.1px, 速度 1.2px/frame, 點數 2
[22:37:05] ✓ 流星 #255: 幀 2542-2543 (時間 84.7s-84.8s), 長度 5.8px, 速度 5.8px/frame, 點數 2
[22:37:05] ✓ 流星 #256: 幀 2543-2543 (時間 84.8s-84.8s), 長度 32.0px, 速度 32.0px/frame, 點數 2
[22:37:05] ✓ 流星 #257: 幀 2543-2543 (時間 84.8s-84.8s), 長度 8.0px, 速度 8.0px/frame, 點數 2
[22:37:05] ✓ 流星 #258: 幀 2543-2543 (時間 84.8s-84.8s), 長度 59.0px, 速度 59.0px/frame, 點數 2
[22:37:05] ✓ 流星 #259: 幀 2543-2543 (時間 84.8s-84.8s), 長度 33.6px, 速度 33.6px/frame, 點數 2
[22:37:05] ✓ 流星 #260: 幀 2543-2543 (時間 84.8s-84.8s), 長度 25.5px, 速度 25.5px/frame, 點數 2
[22:37:05] ✓ 流星 #261: 幀 2543-2543 (時間 84.8s-84.8s), 長度 15.8px, 速度 15.8px/frame, 點數 2
[22:37:05] ✓ 流星 #262: 幀 2543-2543 (時間 84.8s-84.8s), 長度 35.0px, 速度 35.0px/frame, 點數 2
[22:37:05] ✓ 流星 #263: 幀 2543-2543 (時間 84.8s-84.8s), 長度 13.0px, 速度 13.0px/frame, 點數 2
[22:37:05] ✓ 流星 #264: 幀 2543-2543 (時間 84.8s-84.8s), 長度 23.3px, 速度 23.3px/frame, 點數 2
[22:37:05] ✓ 流星 #265: 幀 2543-2543 (時間 84.8s-84.8s), 長度 21.1px, 速度 21.1px/frame, 點數 2
[22:37:05] ✓ 流星 #266: 幀 2543-2543 (時間 84.8s-84.8s), 長度 59.0px, 速度 59.0px/frame, 點數 2
[22:37:05] ✓ 流星 #267: 幀 2543-2543 (時間 84.8s-84.8s), 長度 51.4px, 速度 51.4px/frame, 點數 2
[22:37:05] ✓ 流星 #268: 幀 2543-2543 (時間 84.8s-84.8s), 長度 13.4px, 速度 13.4px/frame, 點數 2
[22:37:05] ✓ 流星 #269: 幀 2543-2543 (時間 84.8s-84.8s), 長度 44.0px, 速度 44.0px/frame, 點數 2
[22:37:05] ✓ 流星 #270: 幀 2543-2543 (時間 84.8s-84.8s), 長度 16.6px, 速度 16.6px/frame, 點數 2
[22:37:05] ✓ 流星 #271: 幀 2543-2543 (時間 84.8s-84.8s), 長度 49.0px, 速度 49.0px/frame, 點數 2
[22:37:05] ✓ 流星 #272: 幀 2543-2543 (時間 84.8s-84.8s), 長度 31.8px, 速度 31.8px/frame, 點數 2
[22:37:05] ✓ 流星 #273: 幀 2543-2543 (時間 84.8s-84.8s), 長度 51.4px, 速度 51.4px/frame, 點數 2
[22:37:05] ✓ 流星 #274: 幀 2543-2543 (時間 84.8s-84.8s), 長度 35.9px, 速度 35.9px/frame, 點數 2
[22:37:05] ✓ 流星 #275: 幀 2543-2543 (時間 84.8s-84.8s), 長度 14.9px, 速度 14.9px/frame, 點數 2
[22:37:05] ✓ 流星 #276: 幀 2543-2543 (時間 84.8s-84.8s), 長度 55.0px, 速度 55.0px/frame, 點數 2
[22:37:05] ✓ 流星 #277: 幀 2543-2543 (時間 84.8s-84.8s), 長度 17.1px, 速度 17.1px/frame, 點數 2
[22:37:05] ✓ 流星 #278: 幀 2543-2543 (時間 84.8s-84.8s), 長度 34.4px, 速度 34.4px/frame, 點數 2
[22:37:05] ✓ 流星 #279: 幀 2543-2543 (時間 84.8s-84.8s), 長度 9.1px, 速度 9.1px/frame, 點數 2
[22:37:05] ✓ 流星 #280: 幀 2543-2543 (時間 84.8s-84.8s), 長度 23.3px, 速度 23.3px/frame, 點數 2
[22:37:05] ✓ 流星 #281: 幀 2543-2543 (時間 84.8s-84.8s), 長度 37.1px, 速度 37.1px/frame, 點數 2
[22:37:05] ✓ 流星 #282: 幀 2543-2543 (時間 84.8s-84.8s), 長度 9.0px, 速度 9.0px/frame, 點數 2
[22:37:05] ✓ 流星 #283: 幀 2543-2543 (時間 84.8s-84.8s), 長度 15.6px, 速度 15.6px/frame, 點數 2
[22:37:05] ✓ 流星 #284: 幀 2543-2543 (時間 84.8s-84.8s), 長度 53.3px, 速度 53.3px/frame, 點數 2
[22:37:05] ✓ 流星 #285: 幀 2543-2543 (時間 84.8s-84.8s), 長度 32.2px, 速度 32.2px/frame, 點數 2
[22:37:05] ✓ 流星 #286: 幀 2543-2543 (時間 84.8s-84.8s), 長度 8.6px, 速度 8.6px/frame, 點數 2
[22:37:05] ✓ 流星 #287: 幀 2543-2543 (時間 84.8s-84.8s), 長度 15.0px, 速度 15.0px/frame, 點數 2
[22:37:05] ✓ 流星 #288: 幀 2543-2543 (時間 84.8s-84.8s), 長度 16.3px, 速度 16.3px/frame, 點數 2
[22:37:05] ✓ 流星 #289: 幀 2543-2543 (時間 84.8s-84.8s), 長度 59.1px, 速度 59.1px/frame, 點數 2
[22:37:05] ✓ 流星 #290: 幀 2543-2543 (時間 84.8s-84.8s), 長度 14.0px, 速度 14.0px/frame, 點數 2
[22:37:05] ✓ 流星 #291: 幀 2543-2543 (時間 84.8s-84.8s), 長度 6.4px, 速度 6.4px/frame, 點數 2
[22:37:05] ✓ 流星 #292: 幀 2543-2543 (時間 84.8s-84.8s), 長度 18.2px, 速度 18.2px/frame, 點數 2
[22:37:05] ✓ 流星 #293: 幀 2543-2543 (時間 84.8s-84.8s), 長度 16.3px, 速度 16.3px/frame, 點數 2
[22:37:05] ✓ 流星 #294: 幀 2543-2543 (時間 84.8s-84.8s), 長度 23.4px, 速度 23.4px/frame, 點數 2
[22:37:05] ✓ 流星 #295: 幀 2543-2543 (時間 84.8s-84.8s), 長度 13.3px, 速度 13.3px/frame, 點數 2
[22:37:05] ✓ 流星 #296: 幀 2543-2543 (時間 84.8s-84.8s), 長度 22.8px, 速度 22.8px/frame, 點數 2
[22:37:05] ✓ 流星 #297: 幀 2543-2543 (時間 84.8s-84.8s), 長度 9.4px, 速度 9.4px/frame, 點數 2
[22:37:05] ✓ 流星 #298: 幀 2543-2543 (時間 84.8s-84.8s), 長度 45.7px, 速度 45.7px/frame, 點數 2
[22:37:05] ✓ 流星 #299: 幀 2543-2543 (時間 84.8s-84.8s), 長度 16.2px, 速度 16.2px/frame, 點數 2
[22:37:05] ✓ 流星 #300: 幀 2543-2543 (時間 84.8s-84.8s), 長度 22.4px, 速度 22.4px/frame, 點數 2
[22:37:05] ✓ 流星 #301: 幀 2543-2543 (時間 84.8s-84.8s), 長度 56.1px, 速度 56.1px/frame, 點數 2
[22:37:05] ✓ 流星 #302: 幀 2543-2543 (時間 84.8s-84.8s), 長度 32.6px, 速度 32.6px/frame, 點數 2
[22:37:05] ✓ 流星 #303: 幀 2543-2543 (時間 84.8s-84.8s), 長度 10.0px, 速度 10.0px/frame, 點數 2
[22:37:05] ✓ 流星 #304: 幀 2543-2543 (時間 84.8s-84.8s), 長度 28.3px, 速度 28.3px/frame, 點數 2
[22:37:05] ✓ 流星 #305: 幀 2543-2543 (時間 84.8s-84.8s), 長度 52.0px, 速度 52.0px/frame, 點數 2
[22:37:05] ✓ 流星 #306: 幀 2543-2543 (時間 84.8s-84.8s), 長度 47.0px, 速度 47.0px/frame, 點數 2
[22:37:05] ✓ 流星 #307: 幀 2543-2543 (時間 84.8s-84.8s), 長度 46.0px, 速度 46.0px/frame, 點數 2
[22:37:05] ✓ 流星 #308: 幀 2543-2543 (時間 84.8s-84.8s), 長度 33.5px, 速度 33.5px/frame, 點數 2
[22:37:05] ✓ 流星 #309: 幀 2543-2543 (時間 84.8s-84.8s), 長度 20.6px, 速度 20.6px/frame, 點數 2
[22:37:05] ✓ 流星 #310: 幀 2543-2543 (時間 84.8s-84.8s), 長度 21.0px, 速度 21.0px/frame, 點數 2
[22:37:05] ✓ 流星 #311: 幀 2543-2543 (時間 84.8s-84.8s), 長度 42.5px, 速度 42.5px/frame, 點數 2
[22:37:05] ✓ 流星 #312: 幀 2543-2543 (時間 84.8s-84.8s), 長度 18.4px, 速度 18.4px/frame, 點數 2
[22:37:05] ✓ 流星 #313: 幀 2543-2543 (時間 84.8s-84.8s), 長度 16.3px, 速度 16.3px/frame, 點數 2
[22:37:05] ✓ 流星 #314: 幀 2543-2543 (時間 84.8s-84.8s), 長度 12.1px, 速度 12.1px/frame, 點數 2
[22:37:05] ✓ 流星 #315: 幀 2543-2543 (時間 84.8s-84.8s), 長度 5.0px, 速度 5.0px/frame, 點數 2
[22:37:05] ✓ 流星 #316: 幀 2543-2543 (時間 84.8s-84.8s), 長度 22.1px, 速度 22.1px/frame, 點數 2
[22:37:05] ✓ 流星 #317: 幀 2543-2543 (時間 84.8s-84.8s), 長度 12.0px, 速度 12.0px/frame, 點數 2
[22:37:05] ✓ 流星 #318: 幀 2543-2543 (時間 84.8s-84.8s), 長度 8.0px, 速度 8.0px/frame, 點數 2
[22:37:05] ✓ 流星 #319: 幀 2543-2543 (時間 84.8s-84.8s), 長度 49.1px, 速度 49.1px/frame, 點數 2
[22:37:05] ✓ 流星 #320: 幀 2543-2543 (時間 84.8s-84.8s), 長度 13.9px, 速度 13.9px/frame, 點數 2
[22:37:05] ✓ 流星 #321: 幀 2543-2543 (時間 84.8s-84.8s), 長度 27.5px, 速度 27.5px/frame, 點數 2
[22:37:05] ✓ 流星 #322: 幀 2543-2543 (時間 84.8s-84.8s), 長度 21.0px, 速度 21.0px/frame, 點數 2
[22:37:05] ✓ 流星 #323: 幀 2543-2543 (時間 84.8s-84.8s), 長度 13.5px, 速度 13.5px/frame, 點數 2
[22:37:05] ✓ 流星 #324: 幀 2543-2543 (時間 84.8s-84.8s), 長度 40.5px, 速度 40.5px/frame, 點數 2
[22:37:05] ✓ 流星 #325: 幀 2543-2543 (時間 84.8s-84.8s), 長度 35.5px, 速度 35.5px/frame, 點數 2
[22:37:05] ✓ 流星 #326: 幀 2543-2543 (時間 84.8s-84.8s), 長度 9.2px, 速度 9.2px/frame, 點數 2
[22:37:05] ✓ 流星 #327: 幀 2543-2543 (時間 84.8s-84.8s), 長度 30.1px, 速度 30.1px/frame, 點數 2
[22:37:05] ✓ 流星 #328: 幀 2543-2545 (時間 84.8s-84.8s), 長度 21.1px, 速度 10.5px/frame, 點數 3
[22:37:05] ✓ 流星 #329: 幀 2543-2545 (時間 84.8s-84.8s), 長度 39.6px, 速度 19.8px/frame, 點數 2
[22:37:05] ✓ 流星 #330: 幀 2543-2545 (時間 84.8s-84.8s), 長度 58.6px, 速度 29.3px/frame, 點數 3
[22:37:05] ✓ 流星 #331: 幀 2543-2545 (時間 84.8s-84.8s), 長度 106.8px, 速度 53.4px/frame, 點數 3
[22:37:05] ✓ 流星 #332: 幀 2551-2551 (時間 85.0s-85.0s), 長度 30.0px, 速度 30.0px/frame, 點數 2
[22:37:05] ✓ 流星 #333: 幀 2551-2551 (時間 85.0s-85.0s), 長度 51.9px, 速度 51.9px/frame, 點數 2
[22:37:05] ✓ 流星 #334: 幀 2551-2551 (時間 85.0s-85.0s), 長度 57.2px, 速度 57.2px/frame, 點數 2
[22:37:05] ✓ 流星 #335: 幀 2551-2551 (時間 85.0s-85.0s), 長度 14.8px, 速度 14.8px/frame, 點數 2
[22:37:05] ✓ 流星 #336: 幀 2551-2551 (時間 85.0s-85.0s), 長度 41.5px, 速度 41.5px/frame, 點數 2
[22:37:05] ✓ 流星 #337: 幀 2551-2551 (時間 85.0s-85.0s), 長度 10.4px, 速度 10.4px/frame, 點數 2
[22:37:05] ✓ 流星 #338: 幀 2551-2551 (時間 85.0s-85.0s), 長度 10.0px, 速度 10.0px/frame, 點數 2
[22:37:05] ✓ 流星 #339: 幀 2551-2551 (時間 85.0s-85.0s), 長度 55.3px, 速度 55.3px/frame, 點數 2
[22:37:05] ✓ 流星 #340: 幀 2551-2551 (時間 85.0s-85.0s), 長度 45.8px, 速度 45.8px/frame, 點數 2
[22:37:05] ✓ 流星 #341: 幀 2551-2551 (時間 85.0s-85.0s), 長度 30.0px, 速度 30.0px/frame, 點數 2
[22:37:05] ✓ 流星 #342: 幀 2551-2551 (時間 85.0s-85.0s), 長度 52.8px, 速度 52.8px/frame, 點數 2
[22:37:05] ✓ 流星 #343: 幀 2551-2551 (時間 85.0s-85.0s), 長度 58.2px, 速度 58.2px/frame, 點數 2
[22:37:05] ✓ 流星 #344: 幀 2571-2571 (時間 85.7s-85.7s), 長度 36.4px, 速度 36.4px/frame, 點數 2
[22:37:06] 處理進度: 2600/3065, 活躍軌跡: 0, 已偵測流星: 344
[22:37:06] ✓ 流星 #345: 幀 2648-2657 (時間 88.3s-88.6s), 長度 84.9px, 速度 9.4px/frame, 點數 6
[22:37:06] ✓ 流星 #346: 幀 2653-2657 (時間 88.4s-88.6s), 長度 25.9px, 速度 6.5px/frame, 點數 3
[22:37:06] ✓ 流星 #347: 幀 2657-2660 (時間 88.6s-88.7s), 長度 23.4px, 速度 7.8px/frame, 點數 2
[22:37:07] 處理進度: 2700/3065, 活躍軌跡: 0, 已偵測流星: 347
[22:37:07] ✓ 流星 #348: 幀 2701-2701 (時間 90.0s-90.0s), 長度 49.6px, 速度 49.6px/frame, 點數 2
[22:37:07] ✓ 流星 #349: 幀 2710-2710 (時間 90.3s-90.3s), 長度 8.1px, 速度 8.1px/frame, 點數 2
[22:37:07] ✓ 流星 #350: 幀 2710-2710 (時間 90.3s-90.3s), 長度 5.0px, 速度 5.0px/frame, 點數 2
[22:37:07] ✓ 流星 #351: 幀 2710-2710 (時間 90.3s-90.3s), 長度 6.3px, 速度 6.3px/frame, 點數 2
[22:37:07] ✓ 流星 #352: 幀 2710-2710 (時間 90.3s-90.3s), 長度 7.6px, 速度 7.6px/frame, 點數 2
[22:37:07] ✓ 流星 #353: 幀 2710-2710 (時間 90.3s-90.3s), 長度 11.7px, 速度 11.7px/frame, 點數 2
[22:37:07] ✓ 流星 #354: 幀 2710-2710 (時間 90.3s-90.3s), 長度 8.5px, 速度 8.5px/frame, 點數 2
[22:37:07] ✓ 流星 #355: 幀 2710-2710 (時間 90.3s-90.3s), 長度 6.7px, 速度 6.7px/frame, 點數 2
[22:37:07] ✓ 流星 #356: 幀 2710-2710 (時間 90.3s-90.3s), 長度 5.8px, 速度 5.8px/frame, 點數 2
[22:37:07] ✓ 流星 #357: 幀 2710-2710 (時間 90.3s-90.3s), 長度 6.7px, 速度 6.7px/frame, 點數 2
[22:37:07] ✓ 流星 #358: 幀 2710-2710 (時間 90.3s-90.3s), 長度 6.7px, 速度 6.7px/frame, 點數 2
[22:37:07] ✓ 流星 #359: 幀 2710-2710 (時間 90.3s-90.3s), 長度 7.2px, 速度 7.2px/frame, 點數 2
[22:37:07] ✓ 流星 #360: 幀 2710-2710 (時間 90.3s-90.3s), 長度 8.5px, 速度 8.5px/frame, 點數 2
[22:37:07] ✓ 流星 #361: 幀 2710-2710 (時間 90.3s-90.3s), 長度 37.1px, 速度 37.1px/frame, 點數 2
[22:37:07] ✓ 流星 #362: 幀 2710-2710 (時間 90.3s-90.3s), 長度 5.8px, 速度 5.8px/frame, 點數 2
[22:37:07] ✓ 流星 #363: 幀 2710-2710 (時間 90.3s-90.3s), 長度 5.8px, 速度 5.8px/frame, 點數 2
[22:37:07] ✓ 流星 #364: 幀 2710-2710 (時間 90.3s-90.3s), 長度 7.6px, 速度 7.6px/frame, 點數 2
[22:37:07] ✓ 流星 #365: 幀 2710-2710 (時間 90.3s-90.3s), 長度 44.1px, 速度 44.1px/frame, 點數 2
[22:37:07] ✓ 流星 #366: 幀 2710-2710 (時間 90.3s-90.3s), 長度 9.5px, 速度 9.5px/frame, 點數 2
[22:37:07] ✓ 流星 #367: 幀 2710-2710 (時間 90.3s-90.3s), 長度 38.9px, 速度 38.9px/frame, 點數 2
[22:37:07] ✓ 流星 #368: 幀 2710-2710 (時間 90.3s-90.3s), 長度 9.2px, 速度 9.2px/frame, 點數 2
[22:37:07] ✓ 流星 #369: 幀 2710-2710 (時間 90.3s-90.3s), 長度 43.0px, 速度 43.0px/frame, 點數 2
[22:37:07] ✓ 流星 #370: 幀 2710-2710 (時間 90.3s-90.3s), 長度 24.1px, 速度 24.1px/frame, 點數 2
[22:37:07] ✓ 流星 #371: 幀 2710-2710 (時間 90.3s-90.3s), 長度 5.0px, 速度 5.0px/frame, 點數 2
[22:37:07] ✓ 流星 #372: 幀 2710-2710 (時間 90.3s-90.3s), 長度 5.8px, 速度 5.8px/frame, 點數 2
[22:37:07] ✓ 流星 #373: 幀 2710-2710 (時間 90.3s-90.3s), 長度 5.0px, 速度 5.0px/frame, 點數 2
[22:37:07] ✓ 流星 #374: 幀 2710-2710 (時間 90.3s-90.3s), 長度 5.8px, 速度 5.8px/frame, 點數 2
[22:37:07] ✓ 流星 #375: 幀 2710-2710 (時間 90.3s-90.3s), 長度 5.1px, 速度 5.1px/frame, 點數 2
[22:37:07] ✓ 流星 #376: 幀 2710-2711 (時間 90.3s-90.4s), 長度 5.7px, 速度 5.7px/frame, 點數 2
[22:37:07] ✓ 流星 #377: 幀 2710-2711 (時間 90.3s-90.4s), 長度 6.4px, 速度 6.4px/frame, 點數 3
[22:37:07] ✓ 流星 #378: 幀 2710-2711 (時間 90.3s-90.4s), 長度 17.8px, 速度 17.8px/frame, 點數 3
[22:37:08] 處理進度: 2800/3065, 活躍軌跡: 0, 已偵測流星: 378
[22:37:09] ✓ 流星 #379: 幀 2810-2810 (時間 93.7s-93.7s), 長度 35.8px, 速度 35.8px/frame, 點數 2
[22:37:09] ✓ 流星 #380: 幀 2810-2810 (時間 93.7s-93.7s), 長度 19.8px, 速度 19.8px/frame, 點數 2
[22:37:09] ✓ 流星 #381: 幀 2810-2810 (時間 93.7s-93.7s), 長度 30.0px, 速度 30.0px/frame, 點數 2
[22:37:09] ✓ 流星 #382: 幀 2810-2810 (時間 93.7s-93.7s), 長度 23.0px, 速度 23.0px/frame, 點數 2
